G5,32cores,448GBRAM,6144GBdisk,$8.690/hr
H8,8cores,56GBRAM,1000GBdisk,$0.971/hr
H8m,8cores,112GBRAM,1000GBdisk,$1.301/hr
H16,16cores,112GBRAM,2000GBdisk,$1.941/hr
H16m,16cores,224GBRAM,2000GBdisk,$2.601/hr
H16r,16cores,112GBRAM,2000GBdisk,$2.136/hr
H16mr,16cores,224GBRAM,2000GBdisk,$2.861/hr
A1v2,1cores,2GBRAM,10GBdisk,$0.043/hr
A2v2,2cores,4GBRAM,20GBdisk,$0.091/hr
A4v2,4cores,8GBRAM,40GBdisk,$0.191/hr
A8v2,8cores,16GBRAM,80GBdisk,$0.400/hr
A2mv2,2cores,16GBRAM,20GBdisk,$0.149/hr
A4mv2,4cores,32GBRAM,40GBdisk,$0.297/hr
A8mv2,8cores,64GBRAM,80GBdisk,$0.594/hr
META,West US,SQL Standard,Standard,on_demand
A0,1cores,0.75GBRAM,20GBdisk,$0.420/hr
A1,1cores,1.75GBRAM,70GBdisk,$0.490/hr
A2,2cores,3.5GBRAM,135GBdisk,$0.580/hr
A3,4cores,7GBRAM,285GBdisk,$0.760/hr
A4,8cores,14GBRAM,605GBdisk,$1.520/hr
A5,2cores,14GBRAM,135GBdisk,$0.730/hr
A6,4cores,28GBRAM,285GBdisk,$1.060/hr
A7,8cores,56GBRAM,605GBdisk,$2.120/hr
A8,8cores,56GBRAM,382GBdisk,$2.266/hr
A9,16cores,112GBRAM,382GBdisk,$4.533/hr
A10,8cores,56GBRAM,382GBdisk,$1.973/hr
A11,16cores,112GBRAM,382GBdisk,$3.946/hr
D1,1cores,3.5GBRAM,50GBdisk,$0.540/hr
D2,2cores,7GBRAM,100GBdisk,$0.680/hr
D3,4cores,14GBRAM,200GBdisk,$0.960/hr
D4,8cores,28GBRAM,400GBdisk,$1.920/hr
D11,2cores,14GBRAM,100GBdisk,$0.730/hr
D12,4cores,28GBRAM,200GBdisk,$1.052/hr
D13,8cores,56GBRAM,400GBdisk,$1.973/hr
D14,16cores,112GBRAM,800GBdisk,$3.711/hr
D1v2,1cores,3.5GBRAM,50GBdisk,$0.533/hr
D2v2,2cores,7GBRAM,100GBdisk,$0.666/hr
D3v2,4cores,14GBRAM,200GBdisk,$0.931/hr
D4v2,8cores,28GBRAM,400GBdisk,$1.863/hr
D5v2,16cores,56GBRAM,800GBdisk,$3.616/hr
D11v2,2cores,14GBRAM,100GBdisk,$0.720/hr
D12v2,4cores,28GBRAM,200GBdisk,$1.033/hr
D13v2,8cores,56GBRAM,400GBdisk,$1.934/hr
D14v2,16cores,112GBRAM,800GBdisk,$3.711/hr
D15v2,20cores,140GBRAM,1000GBdisk,$4.639/hr
F1,1cores,2GBRAM,16GBdisk,$0.511/hr
F2,2cores,4GBRAM,32GBdisk,$0.621/hr
F4,4cores,8GBRAM,64GBdisk,$0.842/hr
F8,8cores,16GBRAM,128GBdisk,$1.684/hr
F16,16cores,32GBRAM,256GBdisk,$3.368/hr
G1,2cores,28GBRAM,384GBdisk,$1.070/hr
G2,4cores,56GBRAM,768GBdisk,$1.740/hr
G3,8cores,112GBRAM,1536GBdisk,$3.480/hr
G4,16cores,224GBRAM,3072GBdisk,$6.960/hr
G5,32cores,448GBRAM,,6144GBdisk,$12.850/hr
